doc_id,filename,relative_path,label,split,char_count,case_id,template_family_id,degradation
SYN-00049,doc_0048.txt,documents/pa_request/doc_0048.txt,pa_request,test,345,SYNTH-CASE-0049,family-08,none
SYN-00050,doc_0049.txt,documents/pa_request/doc_0049.txt,pa_request,challenge,342,SYNTH-CASE-0050,family-09,ocr_like_text
SYN-00051,doc_0050.txt,documents/pa_request/doc_0050.txt,pa_request,train,233,SYNTH-CASE-0051,family-00,none
SYN-00052,doc_0051.txt,documents/pa_request/doc_0051.txt,pa_request,train,318,SYNTH-CASE-0052,family-01,none
SYN-00053,doc_0052.txt,documents/pa_request/doc_0052.txt,pa_request,train,270,SYNTH-CASE-0053,family-02,none
SYN-00054,doc_0053.txt,documents/pa_request/doc_0053.txt,pa_request,train,217,SYNTH-CASE-0054,family-03,none
SYN-00055,doc_0054.txt,documents/pa_request/doc_0054.txt,pa_request,train,304,SYNTH-CASE-0055,family-04,none
SYN-00056,doc_0055.txt,documents/pa_request/doc_0055.txt,pa_request,train,177,SYNTH-CASE-0056,family-05,none
SYN-00057,doc_0056.txt,documents/pa_request/doc_0056.txt,pa_request,train,306,SYNTH-CASE-0057,family-06,none
SYN-00058,doc_0057.txt,documents/pa_request/doc_0057.txt,pa_request,val,297,SYNTH-CASE-0058,family-07,none
SYN-00059,doc_0058.txt,documents/pa_request/doc_0058.txt,pa_request,test,147,SYNTH-CASE-0059,family-08,none
SYN-00060,doc_0059.txt,documents/pa_request/doc_0059.txt,pa_request,challenge,289,SYNTH-CASE-0060,family-09,ocr_like_text
SYN-00061,doc_0000.txt,documents/insurance_card/doc_0000.txt,insurance_card,train,249,SYNTH-CASE-0001,family-00,none
SYN-00062,doc_0001.txt,documents/insurance_card/doc_0001.txt,insurance_card,train,249,SYNTH-CASE-0002,family-01,none
SYN-00063,doc_0002.txt,documents/insurance_card/doc_0002.txt,insurance_card,train,359,SYNTH-CASE-0003,family-02,none
SYN-00064,doc_0003.txt,documents/insurance_card/doc_0003.txt,insurance_card,train,221,SYNTH-CASE-0004,family-03,none
SYN-00065,doc_0004.txt,documents/insurance_card/doc_0004.txt,insurance_card,train,217,SYNTH-CASE-0005,family-04,none
SYN-00066,doc_0005.txt,documents/insurance_card/doc_0005.txt,insurance_card,train,225,SYNTH-CASE-0006,family-05,none
SYN-00067,doc_0006.txt,documents/insurance_card/doc_0006.txt,insurance_card,train,204,SYNTH-CASE-0007,family-06,none
SYN-00068,doc_0007.txt,documents/insurance_card/doc_0007.txt,insurance_card,val,160,SYNTH-CASE-0008,family-07,none
SYN-00069,doc_0008.txt,documents/insurance_card/doc_0008.txt,insurance_card,test,226,SYNTH-CASE-0009,family-08,none
SYN-00070,doc_0009.txt,documents/insurance_card/doc_0009.txt,insurance_card,challenge,391,SYNTH-CASE-0010,family-09,ocr_like_text
SYN-00071,doc_0010.txt,documents/insurance_card/doc_0010.txt,insurance_card,train,254,SYNTH-CASE-0011,family-00,none
SYN-00072,doc_0011.txt,documents/insurance_card/doc_0011.txt,insurance_card,train,183,SYNTH-CASE-0012,family-01,none
SYN-00073,doc_0012.txt,documents/insurance_card/doc_0012.txt,insurance_card,train,282,SYNTH-CASE-0013,family-02,none
SYN-00074,doc_0013.txt,documents/insurance_card/doc_0013.txt,insurance_card,train,216,SYNTH-CASE-0014,family-03,none
SYN-00075,doc_0014.txt,documents/insurance_card/doc_0014.txt,insurance_card,train,225,SYNTH-CASE-0015,family-04,none
SYN-00076,doc_0015.txt,documents/insurance_card/doc_0015.txt,insurance_card,train,332,SYNTH-CASE-0016,family-05,none
SYN-00077,doc_0016.txt,documents/insurance_card/doc_0016.txt,insurance_card,train,255,SYNTH-CASE-0017,family-06,none
SYN-00078,doc_0017.txt,documents/insurance_card/doc_0017.txt,insurance_card,val,185,SYNTH-CASE-0018,family-07,none
SYN-00079,doc_0018.txt,documents/insurance_card/doc_0018.txt,insurance_card,test,189,SYNTH-CASE-0019,family-08,none
SYN-00080,doc_0019.txt,documents/insurance_card/doc_0019.txt,insurance_card,challenge,395,SYNTH-CASE-0020,family-09,ocr_like_text
SYN-00081,doc_0020.txt,documents/insurance_card/doc_0020.txt,insurance_card,train,246,SYNTH-CASE-0021,family-00,none
SYN-00082,doc_0021.txt,documents/insurance_card/doc_0021.txt,insurance_card,train,326,SYNTH-CASE-0022,family-01,none
SYN-00083,doc_0022.txt,documents/insurance_card/doc_0022.txt,insurance_card,train,235,SYNTH-CASE-0023,family-02,none
SYN-00084,doc_0023.txt,documents/insurance_card/doc_0023.txt,insurance_card,train,285,SYNTH-CASE-0024,family-03,none
SYN-00085,doc_0024.txt,documents/insurance_card/doc_0024.txt,insurance_card,train,262,SYNTH-CASE-0025,family-04,none
SYN-00086,doc_0025.txt,documents/insurance_card/doc_0025.txt,insurance_card,train,278,SYNTH-CASE-0026,family-05,none
SYN-00087,doc_0026.txt,documents/insurance_card/doc_0026.txt,insurance_card,train,186,SYNTH-CASE-0027,family-06,none
SYN-00088,doc_0027.txt,documents/insurance_card/doc_0027.txt,insurance_card,val,346,SYNTH-CASE-0028,family-07,none
SYN-00089,doc_0028.txt,documents/insurance_card/doc_0028.txt,insurance_card,test,240,SYNTH-CASE-0029,family-08,none
SYN-00090,doc_0029.txt,documents/insurance_card/doc_0029.txt,insurance_card,challenge,329,SYNTH-CASE-0030,family-09,ocr_like_text
SYN-00091,doc_0030.txt,documents/insurance_card/doc_0030.txt,insurance_card,train,155,SYNTH-CASE-0031,family-00,none
SYN-00092,doc_0031.txt,documents/insurance_card/doc_0031.txt,insurance_card,train,329,SYNTH-CASE-0032,family-01,none
SYN-00093,doc_0032.txt,documents/insurance_card/doc_0032.txt,insurance_card,train,204,SYNTH-CASE-0033,family-02,none
SYN-00094,doc_0033.txt,documents/insurance_card/doc_0033.txt,insurance_card,train,202,SYNTH-CASE-0034,family-03,none
SYN-00095,doc_0034.txt,documents/insurance_card/doc_0034.txt,insurance_card,train,277,SYNTH-CASE-0035,family-04,none
SYN-00096,doc_0035.txt,documents/insurance_card/doc_0035.txt,insurance_card,train,321,SYNTH-CASE-0036,family-05,none
SYN-00097,doc_0036.txt,documents/insurance_card/doc_0036.txt,insurance_card,train,189,SYNTH-CASE-0037,family-06,none
SYN-00098,doc_0037.txt,documents/insurance_card/doc_0037.txt,insurance_card,val,332,SYNTH-CASE-0038,family-07,none
SYN-00099,doc_0038.txt,documents/insurance_card/doc_0038.txt,insurance_card,test,267,SYNTH-CASE-0039,family-08,none
SYN-00100,doc_0039.txt,documents/insurance_card/doc_0039.txt,insurance_card,challenge,340,SYNTH-CASE-0040,family-09,ocr_like_text
SYN-00101,doc_0040.txt,documents/insurance_card/doc_0040.txt,insurance_card,train,244,SYNTH-CASE-0041,family-00,none
SYN-00102,doc_0041.txt,documents/insurance_card/doc_0041.txt,insurance_card,train,274,SYNTH-CASE-0042,family-01,none
SYN-00103,doc_0042.txt,documents/insurance_card/doc_0042.txt,insurance_card,train,189,SYNTH-CASE-0043,family-02,none
SYN-00104,doc_0043.txt,documents/insurance_card/doc_0043.txt,insurance_card,train,247,SYNTH-CASE-0044,family-03,none
SYN-00105,doc_0044.txt,documents/insurance_card/doc_0044.txt,insurance_card,train,172,SYNTH-CASE-0045,family-04,none
SYN-00106,doc_0045.txt,documents/insurance_card/doc_0045.txt,insurance_card,train,271,SYNTH-CASE-0046,family-05,none
SYN-00107,doc_0046.txt,documents/insurance_card/doc_0046.txt,insurance_card,train,262,SYNTH-CASE-0047,family-06,none
SYN-00108,doc_0047.txt,documents/insurance_card/doc_0047.txt,insurance_card,val,227,SYNTH-CASE-0048,family-07,none
SYN-00109,doc_0048.txt,documents/insurance_card/doc_0048.txt,insurance_card,test,260,SYNTH-CASE-0049,family-08,none
SYN-00110,doc_0049.txt,documents/insurance_card/doc_0049.txt,insurance_card,challenge,251,SYNTH-CASE-0050,family-09,ocr_like_text
SYN-00111,doc_0050.txt,documents/insurance_card/doc_0050.txt,insurance_card,train,314,SYNTH-CASE-0051,family-00,none
SYN-00112,doc_0051.txt,documents/insurance_card/doc_0051.txt,insurance_card,train,231,SYNTH-CASE-0052,family-01,none
SYN-00113,doc_0052.txt,documents/insurance_card/doc_0052.txt,insurance_card,train,253,SYNTH-CASE-0053,family-02,none
SYN-00114,doc_0053.txt,documents/insurance_card/doc_0053.txt,insurance_card,train,225,SYNTH-CASE-0054,family-03,none
SYN-00115,doc_0054.txt,documents/insurance_card/doc_0054.txt,insurance_card,train,377,SYNTH-CASE-0055,family-04,none
SYN-00116,doc_0055.txt,documents/insurance_card/doc_0055.txt,insurance_card,train,341,SYNTH-CASE-0056,family-05,none
SYN-00117,doc_0056.txt,documents/insurance_card/doc_0056.txt,insurance_card,train,302,SYNTH-CASE-0057,family-06,none
SYN-00118,doc_0057.txt,documents/insurance_card/doc_0057.txt,insurance_card,val,365,SYNTH-CASE-0058,family-07,none
SYN-00119,doc_0058.txt,documents/insurance_card/doc_0058.txt,insurance_card,test,237,SYNTH-CASE-0059,family-08,none
SYN-00120,doc_0059.txt,documents/insurance_card/doc_0059.txt,insurance_card,challenge,228,SYNTH-CASE-0060,family-09,ocr_like_text
SYN-00121,doc_0000.txt,documents/referral/doc_0000.txt,referral,train,274,SYNTH-CASE-0001,family-00,none
SYN-00122,doc_0001.txt,documents/referral/doc_0001.txt,referral,train,191,SYNTH-CASE-0002,family-01,none
SYN-00123,doc_0002.txt,documents/referral/doc_0002.txt,referral,train,211,SYNTH-CASE-0003,family-02,none
SYN-00124,doc_0003.txt,documents/referral/doc_0003.txt,referral,train,231,SYNTH-CASE-0004,family-03,none
SYN-00125,doc_0004.txt,documents/referral/doc_0004.txt,referral,train,273,SYNTH-CASE-0005,family-04,none
SYN-00126,doc_0005.txt,documents/referral/doc_0005.txt,referral,train,252,SYNTH-CASE-0006,family-05,none
SYN-00127,doc_0006.txt,documents/referral/doc_0006.txt,referral,train,207,SYNTH-CASE-0007,family-06,none
SYN-00128,doc_0007.txt,documents/referral/doc_0007.txt,referral,val,156,SYNTH-CASE-0008,family-07,none
SYN-00129,doc_0008.txt,documents/referral/doc_0008.txt,referral,test,318,SYNTH-CASE-0009,family-08,none
SYN-00130,doc_0009.txt,documents/referral/doc_0009.txt,referral,challenge,290,SYNTH-CASE-0010,family-09,ocr_like_text
SYN-00131,doc_0010.txt,documents/referral/doc_0010.txt,referral,train,229,SYNTH-CASE-0011,family-00,none
SYN-00132,doc_0011.txt,documents/referral/doc_0011.txt,referral,train,246,SYNTH-CASE-0012,family-01,none
SYN-00133,doc_0012.txt,documents/referral/doc_0012.txt,referral,train,236,SYNTH-CASE-0013,family-02,none
SYN-00134,doc_0013.txt,documents/referral/doc_0013.txt,referral,train,305,SYNTH-CASE-0014,family-03,none
SYN-00135,doc_0014.txt,documents/referral/doc_0014.txt,referral,train,271,SYNTH-CASE-0015,family-04,none
SYN-00136,doc_0015.txt,documents/referral/doc_0015.txt,referral,train,272,SYNTH-CASE-0016,family-05,none
SYN-00137,doc_0016.txt,documents/referral/doc_0016.txt,referral,train,265,SYNTH-CASE-0017,family-06,none
SYN-00138,doc_0017.txt,documents/referral/doc_0017.txt,referral,val,194,SYNTH-CASE-0018,family-07,none
SYN-00139,doc_0018.txt,documents/referral/doc_0018.txt,referral,test,299,SYNTH-CASE-0019,family-08,none
SYN-00140,doc_0019.txt,documents/referral/doc_0019.txt,referral,challenge,336,SYNTH-CASE-0020,family-09,ocr_like_text
SYN-00141,doc_0020.txt,documents/referral/doc_0020.txt,referral,train,220,SYNTH-CASE-0021,family-00,none
SYN-00142,doc_0021.txt,documents/referral/doc_0021.txt,referral,train,245,SYNTH-CASE-0022,family-01,none
SYN-00143,doc_0022.txt,documents/referral/doc_0022.txt,referral,train,358,SYNTH-CASE-0023,family-02,none
SYN-00144,doc_0023.txt,documents/referral/doc_0023.txt,referral,train,297,SYNTH-CASE-0024,family-03,none
SYN-00145,doc_0024.txt,documents/referral/doc_0024.txt,referral,train,385,SYNTH-CASE-0025,family-04,none
SYN-00146,doc_0025.txt,documents/referral/doc_0025.txt,referral,train,158,SYNTH-CASE-0026,family-05,none
SYN-00147,doc_0026.txt,documents/referral/doc_0026.txt,referral,train,236,SYNTH-CASE-0027,family-06,none
SYN-00148,doc_0027.txt,documents/referral/doc_0027.txt,referral,val,320,SYNTH-CASE-0028,family-07,none
SYN-00149,doc_0028.txt,documents/referral/doc_0028.txt,referral,test,304,SYNTH-CASE-0029,family-08,none
SYN-00150,doc_0029.txt,documents/referral/doc_0029.txt,referral,challenge,313,SYNTH-CASE-0030,family-09,ocr_like_text
SYN-00151,doc_0030.txt,documents/referral/doc_0030.txt,referral,train,258,SYNTH-CASE-0031,family-00,none
SYN-00152,doc_0031.txt,documents/referral/doc_0031.txt,referral,train,293,SYNTH-CASE-0032,family-01,none
SYN-00153,doc_0032.txt,documents/referral/doc_0032.txt,referral,train,181,SYNTH-CASE-0033,family-02,none
SYN-00154,doc_0033.txt,documents/referral/doc_0033.txt,referral,train,309,SYNTH-CASE-0034,family-03,none
SYN-00155,doc_0034.txt,documents/referral/doc_0034.txt,referral,train,244,SYNTH-CASE-0035,family-04,none
SYN-00156,doc_0035.txt,documents/referral/doc_0035.txt,referral,train,281,SYNTH-CASE-0036,family-05,none
SYN-00157,doc_0036.txt,documents/referral/doc_0036.txt,referral,train,234,SYNTH-CASE-0037,family-06,none
SYN-00158,doc_0037.txt,documents/referral/doc_0037.txt,referral,val,236,SYNTH-CASE-0038,family-07,none
SYN-00159,doc_0038.txt,documents/referral/doc_0038.txt,referral,test,273,SYNTH-CASE-0039,family-08,none
SYN-00160,doc_0039.txt,documents/referral/doc_0039.txt,referral,challenge,306,SYNTH-CASE-0040,family-09,ocr_like_text
SYN-00161,doc_0040.txt,documents/referral/doc_0040.txt,referral,train,281,SYNTH-CASE-0041,family-00,none
SYN-00162,doc_0041.txt,documents/referral/doc_0041.txt,referral,train,307,SYNTH-CASE-0042,family-01,none
SYN-00163,doc_0042.txt,documents/referral/doc_0042.txt,referral,train,399,SYNTH-CASE-0043,family-02,none
SYN-00164,doc_0043.txt,documents/referral/doc_0043.txt,referral,train,286,SYNTH-CASE-0044,family-03,none
SYN-00165,doc_0044.txt,documents/referral/doc_0044.txt,referral,train,225,SYNTH-CASE-0045,family-04,none
SYN-00166,doc_0045.txt,documents/referral/doc_0045.txt,referral,train,315,SYNTH-CASE-0046,family-05,none
SYN-00167,doc_0046.txt,documents/referral/doc_0046.txt,referral,train,322,SYNTH-CASE-0047,family-06,none
SYN-00168,doc_0047.txt,documents/referral/doc_0047.txt,referral,val,163,SYNTH-CASE-0048,family-07,none
SYN-00169,doc_0048.txt,documents/referral/doc_0048.txt,referral,test,287,SYNTH-CASE-0049,family-08,none
SYN-00170,doc_0049.txt,documents/referral/doc_0049.txt,referral,challenge,321,SYNTH-CASE-0050,family-09,ocr_like_text
SYN-00171,doc_0050.txt,documents/referral/doc_0050.txt,referral,train,264,SYNTH-CASE-0051,family-00,none
SYN-00172,doc_0051.txt,documents/referral/doc_0051.txt,referral,train,322,SYNTH-CASE-0052,family-01,none
SYN-00173,doc_0052.txt,documents/referral/doc_0052.txt,referral,train,292,SYNTH-CASE-0053,family-02,none
SYN-00174,doc_0053.txt,documents/referral/doc_0053.txt,referral,train,277,SYNTH-CASE-0054,family-03,none
SYN-00175,doc_0054.txt,documents/referral/doc_0054.txt,referral,train,265,SYNTH-CASE-0055,family-04,none
SYN-00176,doc_0055.txt,documents/referral/doc_0055.txt,referral,train,226,SYNTH-CASE-0056,family-05,none
SYN-00177,doc_0056.txt,documents/referral/doc_0056.txt,referral,train,222,SYNTH-CASE-0057,family-06,none
SYN-00178,doc_0057.txt,documents/referral/doc_0057.txt,referral,val,148,SYNTH-CASE-0058,family-07,none
SYN-00179,doc_0058.txt,documents/referral/doc_0058.txt,referral,test,260,SYNTH-CASE-0059,family-08,none
SYN-00180,doc_0059.txt,documents/referral/doc_0059.txt,referral,challenge,304,SYNTH-CASE-0060,family-09,ocr_like_text
SYN-00181,doc_0000.txt,documents/prescription/doc_0000.txt,prescription,train,195,SYNTH-CASE-0001,family-00,none
SYN-00182,doc_0001.txt,documents/prescription/doc_0001.txt,prescription,train,169,SYNTH-CASE-0002,family-01,none
SYN-00183,doc_0002.txt,documents/prescription/doc_0002.txt,prescription,train,328,SYNTH-CASE-0003,family-02,none
SYN-00184,doc_0003.txt,documents/prescription/doc_0003.txt,prescription,train,205,SYNTH-CASE-0004,family-03,none
SYN-00185,doc_0004.txt,documents/prescription/doc_0004.txt,prescription,train,191,SYNTH-CASE-0005,family-04,none
SYN-00186,doc_0005.txt,documents/prescription/doc_0005.txt,prescription,train,162,SYNTH-CASE-0006,family-05,none
SYN-00187,doc_0006.txt,documents/prescription/doc_0006.txt,prescription,train,253,SYNTH-CASE-0007,family-06,none
SYN-00188,doc_0007.txt,documents/prescription/doc_0007.txt,prescription,val,298,SYNTH-CASE-0008,family-07,none
SYN-00189,doc_0008.txt,documents/prescription/doc_0008.txt,prescription,test,280,SYNTH-CASE-0009,family-08,none
SYN-00190,doc_0009.txt,documents/prescription/doc_0009.txt,prescription,challenge,294,SYNTH-CASE-0010,family-09,ocr_like_text
SYN-00191,doc_0010.txt,documents/prescription/doc_0010.txt,prescription,train,164,SYNTH-CASE-0011,family-00,none
SYN-00192,doc_0011.txt,documents/prescription/doc_0011.txt,prescription,train,267,SYNTH-CASE-0012,family-01,none
SYN-00193,doc_0012.txt,documents/prescription/doc_0012.txt,prescription,train,321,SYNTH-CASE-0013,family-02,none
SYN-00194,doc_0013.txt,documents/prescription/doc_0013.txt,prescription,train,317,SYNTH-CASE-0014,family-03,none
SYN-00195,doc_0014.txt,documents/prescription/doc_0014.txt,prescription,train,235,SYNTH-CASE-0015,family-04,none
SYN-00196,doc_0015.txt,documents/prescription/doc_0015.txt,prescription,train,218,SYNTH-CASE-0016,family-05,none
SYN-00197,doc_0016.txt,documents/prescription/doc_0016.txt,prescription,train,163,SYNTH-CASE-0017,family-06,none
SYN-00198,doc_0017.txt,documents/prescription/doc_0017.txt,prescription,val,222,SYNTH-CASE-0018,family-07,none
SYN-00199,doc_0018.txt,documents/prescription/doc_0018.txt,prescription,test,212,SYNTH-CASE-0019,family-08,none
SYN-00200,doc_0019.txt,documents/prescription/doc_0019.txt,prescription,challenge,230,SYNTH-CASE-0020,family-09,ocr_like_text
SYN-00201,doc_0020.txt,documents/prescription/doc_0020.txt,prescription,train,272,SYNTH-CASE-0021,family-00,none
SYN-00202,doc_0021.txt,documents/prescription/doc_0021.txt,prescription,train,217,SYNTH-CASE-0022,family-01,none
SYN-00203,doc_0022.txt,documents/prescription/doc_0022.txt,prescription,train,308,SYNTH-CASE-0023,family-02,none
SYN-00204,doc_0023.txt,documents/prescription/doc_0023.txt,prescription,train,268,SYNTH-CASE-0024,family-03,none
SYN-00205,doc_0024.txt,documents/prescription/doc_0024.txt,prescription,train,170,SYNTH-CASE-0025,family-04,none
SYN-00206,doc_0025.txt,documents/prescription/doc_0025.txt,prescription,train,307,SYNTH-CASE-0026,family-05,none
SYN-00207,doc_0026.txt,documents/prescription/doc_0026.txt,prescription,train,232,SYNTH-CASE-0027,family-06,none
SYN-00208,doc_0027.txt,documents/prescription/doc_0027.txt,prescription,val,217,SYNTH-CASE-0028,family-07,none
SYN-00209,doc_0028.txt,documents/prescription/doc_0028.txt,prescription,test,250,SYNTH-CASE-0029,family-08,none
SYN-00210,doc_0029.txt,documents/prescription/doc_0029.txt,prescription,challenge,184,SYNTH-CASE-0030,family-09,ocr_like_text
SYN-00211,doc_0030.txt,documents/prescription/doc_0030.txt,prescription,train,296,SYNTH-CASE-0031,family-00,none
SYN-00212,doc_0031.txt,documents/prescription/doc_0031.txt,prescription,train,227,SYNTH-CASE-0032,family-01,none
SYN-00213,doc_0032.txt,documents/prescription/doc_0032.txt,prescription,train,246,SYNTH-CASE-0033,family-02,none
SYN-00214,doc_0033.txt,documents/prescription/doc_0033.txt,prescription,train,189,SYNTH-CASE-0034,family-03,none
SYN-00215,doc_0034.txt,documents/prescription/doc_0034.txt,prescription,train,239,SYNTH-CASE-0035,family-04,none
SYN-00216,doc_0035.txt,documents/prescription/doc_0035.txt,prescription,train,170,SYNTH-CASE-0036,family-05,none
SYN-00217,doc_0036.txt,documents/prescription/doc_0036.txt,prescription,train,266,SYNTH-CASE-0037,family-06,none
SYN-00218,doc_0037.txt,documents/prescription/doc_0037.txt,prescription,val,247,SYNTH-CASE-0038,family-07,none
SYN-00219,doc_0038.txt,documents/prescription/doc_0038.txt,prescription,test,376,SYNTH-CASE-0039,family-08,none
SYN-00220,doc_0039.txt,documents/prescription/doc_0039.txt,prescription,challenge,391,SYNTH-CASE-0040,family-09,ocr_like_text
SYN-00221,doc_0040.txt,documents/prescription/doc_0040.txt,prescription,train,365,SYNTH-CASE-0041,family-00,none
SYN-00222,doc_0041.txt,documents/prescription/doc_0041.txt,prescription,train,276,SYNTH-CASE-0042,family-01,none
SYN-00223,doc_0042.txt,documents/prescription/doc_0042.txt,prescription,train,234,SYNTH-CASE-0043,family-02,none
SYN-00224,doc_0043.txt,documents/prescription/doc_0043.txt,prescription,train,166,SYNTH-CASE-0044,family-03,none
SYN-00225,doc_0044.txt,documents/prescription/doc_0044.txt,prescription,train,256,SYNTH-CASE-0045,family-04,none
SYN-00226,doc_0045.txt,documents/prescription/doc_0045.txt,prescription,train,146,SYNTH-CASE-0046,family-05,none
SYN-00227,doc_0046.txt,documents/prescription/doc_0046.txt,prescription,train,334,SYNTH-CASE-0047,family-06,none
SYN-00228,doc_0047.txt,documents/prescription/doc_0047.txt,prescription,val,179,SYNTH-CASE-0048,family-07,none
SYN-00229,doc_0048.txt,documents/prescription/doc_0048.txt,prescription,test,199,SYNTH-CASE-0049,family-08,none
